ID,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex,priceLog
95449254,0,0.6765215881860741,3.0,0.2748004271278084,1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.429216196844383
107558322,0,0.784854123933547,4.0,0.6405912621981329,1,0.5781296526357756,0.23784458827331328,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,13.652991628466498
106749006,0,0.7544146745896504,0.0,0.5196611620854417,0,0.45815690999132624,0.23784458827331328,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,13.287877815881902
107264550,0,0.9072143441545792,3.0,0.564682805474779,1,0.45815690999132624,0.23784458827331328,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,13.62918097977278
105990065,0,0.8525296147015309,0.0,0.6097551672327259,1,0.45815690999132624,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.92391243868049
107251525,0,0.4486651855935457,1.0,0.6538344442208284,1,0.7472217363092141,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.732128949025222
102837633,0,0.893932468740555,2.0,0.5672570923509619,1,0.45815690999132624,0.23784458827331328,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,14.148404973237604
107123975,0,0.6236333915610938,1.0,0.5459232712141207,1,0.5781296526357756,0.23784458827331328,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.710150042306449
93273597,0,0.760855819956617,4.0,0.43332200685723476,1,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,12.834681304952548
83228409,0,0.8307168793445957,1.0,0.33676574455027963,0,0.2890648263178878,0.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12.594730635321957
106520546,1,0.8115253610827109,4.0,0.7056070449465779,1,0.45815690999132624,0.23784458827331328,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,14.214286677921642
107192521,0,0.8797790451741708,1.0,0.564682805474779,1,0.45815690999132624,0.0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,13.567049198665774
107485732,0,0.0,3.0,0.6307076231503106,1,0.5781296526357756,0.23784458827331328,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14.234220892822458
106115593,0,0.6352990620690318,3.0,0.45769584466297064,0,0.2890648263178878,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,12.676076274775909
102585160,0,0.4486651855935457,1.0,0.9569126877586851,1,0.7472217363092141,0.6444425975133798,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14.508657738524219
106712941,0,0.6352990620690318,4.0,0.525727229513202,1,0.45815690999132624,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.017002861746503
106630770,0,0.646366223604866,6.0,0.2417745908658857,1,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12.100712129872347
107543117,0,0.4968111617403508,2.0,0.5345726045349362,1,0.6711877414712396,0.23784458827331328,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.112313041550827
106622332,1,0.7189642627730068,2.0,0.5594576384551251,1,0.45815690999132624,0.23784458827331328,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,13.444446876573442
107046288,0,0.6352990620690318,4.0,0.35456095681708955,0,0.2890648263178878,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.718045610848048
106685793,0,0.5694092009084916,3.0,0.2417745908658857,0,0.2890648263178878,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12.449018824140563
106752165,0,0.7189642627730068,3.0,0.5940310586952058,1,0.5781296526357756,0.23784458827331328,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.444446876573442
106149657,0,0.9072143441545792,3.0,0.5963355476829753,1,0.45815690999132624,0.23784458827331328,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,13.527828485512494
106517806,0,0.5982202474580609,1.0,0.2748004271278084,0,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.230765258120545
101968219,0,0.5173755097413612,5.0,0.1212532628130728,0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.911701584927597
106305534,0,0.5982202474580609,1.0,0.18289541753516225,0,0.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,11.884489021402711
107555621,0,0.7409251356888623,4.0,0.5514206015501988,1,0.5781296526357756,0.23784458827331328,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,13.637579349471613
107540817,0,0.7189642627730068,3.0,0.30414868034823495,0,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.323855681186558
106968890,0,0.6669305716058764,0.0,0.31100263224278857,0,0.45815690999132624,0.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,12.128111104060462
106823672,0,0.8483399229403911,2.0,0.7232043852042056,1,0.5781296526357756,0.5374933317397155,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,14.340239086899256
107188870,0,0.7477753093225762,0.0,0.46154791762889813,1,0.45815690999132624,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.487485104968359
107185802,0,0.6113007580921018,2.0,0.32419849743367457,1,0.2890648263178878,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.464583340681674
106826532,0,0.6857043504418351,4.0,0.46908735374017474,1,0.5781296526357756,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.676076274775909
102191997,0,0.8307168793445957,1.0,0.4537867018770132,1,0.2890648263178878,0.0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,12.834681304952548
104069520,0,0.694512199751671,7.0,0.49725939857067325,1,0.45815690999132624,0.23784458827331328,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13.710150042306449
107375377,0,0.3865942267128045,1.0,0.6538344442208284,1,0.7472217363092141,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.732128949025222
107368135,0,0.784854123933547,5.0,0.5070939149688369,0,0.5781296526357756,0.23784458827331328,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,13.296316684527767
107182714,0,0.5982202474580609,1.0,0.2504265893220725,0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12.301382825334498
107545785,0,0.5361492885773198,1.0,0.6681978436700622,1,0.8115075629572489,0.23784458827331328,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.652991628466498
103863011,0,0.8685193246375221,5.0,0.38178738793961675,1,0.2890648263178878,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,12.84792653170257
106095138,0,0.4968111617403508,4.0,0.5165750179936941,1,0.45815690999132624,0.23784458827331328,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.578521599828012
107416172,0,0.7791001203769448,4.0,0.6405912621981329,1,0.5781296526357756,0.23784458827331328,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,13.652991628466498
107318082,0,0.8260766500505894,1.0,0.59170626557816,1,0.45815690999132624,0.23784458827331328,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.487006490992238
103858261,0,0.8064483657567809,2.0,0.8502180951893978,1,0.5781296526357756,0.40659800924006667,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14.340239086899256
107511666,0,0.711117494544868,4.0,0.5345726045349362,1,0.5781296526357756,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,13.060487973686241
104638887,0,0.7671102389198118,1.0,0.6405912621981329,1,0.45815690999132624,0.23784458827331328,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.458835614025542
106992024,0,0.711117494544868,0.0,0.4457902622968657,1,0.45815690999132624,0.0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12.764258840656002
107525491,0,0.73385032658864,3.0,0.32419849743367457,1,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12.821258284620408
107364670,0,0.0,4.0,0.693187702717186,1,0.5781296526357756,0.40659800924006667,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14.166167429577444
102976032,0,0.7029745528370157,1.0,0.6801548161058355,1,0.7472217363092141,0.23784458827331328,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,14.557447902693651
107195390,0,0.6669305716058764,1.0,0.5102922851820237,1,0.45815690999132624,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12.886641043883259
104978621,0,0.711117494544868,4.0,0.44981877278984816,0,0.45815690999132624,0.23784458827331328,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.791077667470416
107389375,0,0.5361492885773198,3.0,0.7086226470483641,1,0.7472217363092141,0.40659800924006667,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.703461054155651
104161550,0,0.0,2.0,0.7274262722627352,1,0.5781296526357756,0.23784458827331328,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.585618779660347
107538375,0,0.7544146745896504,2.0,0.6266481228972502,1,0.5781296526357756,0.5374933317397155,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.891545244240271
107458403,0,0.3865942267128045,0.0,0.5196611620854417,0,0.45815690999132624,0.23784458827331328,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13.353475098367715
107507092,0,0.6113007580921018,4.0,0.35456095681708955,1,0.2890648263178878,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.429216196844383
106584029,0,0.5534194909725004,3.0,0.59170626557816,0,0.5781296526357756,0.40659800924006667,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.731041401337825
107488668,0,0.29911012372903045,2.0,0.6097551672327259,1,0.5781296526357756,0.40659800924006667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.579788224443204
106946745,0,0.5842952647241249,1.0,0.2504265893220725,0,0.45815690999132624,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.884489021402711
107023993,0,0.7265356482629434,1.0,0.6140808757806451,1,0.5781296526357756,0.40659800924006667,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13.811502536566735
102399645,0,0.47407832969657865,5.0,0.6307076231503106,1,0.5781296526357756,0.40659800924006667,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.038654109278484
101965364,1,0.8352594123063504,5.0,0.5486862526054865,1,0.45815690999132624,0.23784458827331328,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,13.805460222110773
106237166,0,0.5534194909725004,1.0,0.6538344442208284,1,0.45815690999132624,0.23784458827331328,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13.773646353865574
107457002,0,0.5982202474580609,3.0,0.33055693310395606,0,0.45815690999132624,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.502466658583977
104305083,0,0.7671102389198118,1.0,0.8981797390434407,1,0.8115075629572489,0.5374933317397155,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.403297222866392
